ploidy	polymerase_epsilon_delta	state	cellLine
G0G1.HGC-27.2208	3.01410609751	2.54166666666667	G0G1	HGC-27
S.SNU-668.2195	3.15050667317169	1.57558139534884	S	SNU-668
S.SNU-668.2189	4.66451171059966	1.39583333333333	S	SNU-668
S.SNU-668.2190	3.18353340020412	1.28125	S	SNU-668
S.SNU-668.2194	3.59768712275938	1.41071428571428	S	SNU-668
S.SNU-668.2188	3.83490584984893	1.65384615384615	S	SNU-668
S.SNU-668.2191	3.61001619050015	1.43331903945111	S	SNU-668
S.SNU-668.2192	3.14324112041873	1.90625	S	SNU-668
S.SNU-668.2193	2.9943788773392	1.6875	S	SNU-668
G0G1.SNU-668.2195	2.74465875329086	0.95763358778626	G0G1	SNU-668
G0G1.SNU-668.2189	2.63631706649925	1.02142857142857	G0G1	SNU-668
G0G1.SNU-668.2190	2.70127030619644	1.07902298850575	G0G1	SNU-668
G0G1.SNU-668.2194	2.63091057702902	0.999999999999999	G0G1	SNU-668
G0G1.SNU-668.2188	2.74598447173208	0.976317663817664	G0G1	SNU-668
G0G1.SNU-668.2191	2.68401734247411	1.05681818181818	G0G1	SNU-668
G0G1.SNU-668.2192	2.68544572616552	0.935483870967743	G0G1	SNU-668
G0G1.SNU-668.2193	2.75412217360724	0.990043186180423	G0G1	SNU-668
S.SNU-601.2175	3.39410781553703	1.02790178571429	S	SNU-601
S.SNU-601.2172	3.68148504384961	0.945054945054945	S	SNU-601
S.SNU-601.2174	2.90373371728868	0.428571428571429	S	SNU-601
S.SNU-601.2176	3.86548245230597	1.34731323722149	S	SNU-601
S.SNU-601.2182	5.19219455063035	1.09881847475832	S	SNU-601
S.SNU-601.2173	4.02701690802852	1.37389770723104	S	SNU-601
S.SNU-601.2181	3.02647263166786	0.888571428571429	S	SNU-601
S.SNU-601.2177	2.92639155712929	1.28571428571429	S	SNU-601
S.SNU-601.2178	4.70171819448298	2	S	SNU-601
S.SNU-601.2179	3.13249577261051	1.07619047619048	S	SNU-601
S.SNU-601.2180	2.9019032986582	1.44973544973545	S	SNU-601
G0G1.SNU-601.2175	2.23777656125751	0.963700234192037	G0G1	SNU-601
G0G1.SNU-601.2172	2.13405114903771	0.801271860095389	G0G1	SNU-601
G0G1.SNU-601.2174	2.15218803726713	0.973125884016973	G0G1	SNU-601
G0G1.SNU-601.2176	2.16978025235147	0.843179377013963	G0G1	SNU-601
G0G1.SNU-601.2182	2.20624556037906	0.749165120593692	G0G1	SNU-601
G0G1.SNU-601.2173	2.13607471173807	1.1602787456446	G0G1	SNU-601
G0G1.SNU-601.2181	2.28876917317398	1.06048906048906	G0G1	SNU-601
G0G1.SNU-601.2177	2.15954548888777	0.857142857142857	G0G1	SNU-601
G0G1.SNU-601.2178	2.11737573368863	0.768253968253968	G0G1	SNU-601
G0G1.SNU-601.2179	2.1834074497567	0.86056338028169	G0G1	SNU-601
G0G1.SNU-601.2180	2.20647574157748	0.727024567788899	G0G1	SNU-601
