2209	2207	2210	2208
5:1060001-46320000	3.96	3.98571428571429	4.01398601398601	3.96774193548387
5:50360001-164980000	3	3	3	3
5:166460001-175880000	4	4	4.01048951048951	4
5:176260001-180920000	3.92912621359223	3.95124826629681	3.94466698350194	3.91089884121516
6:400001-2520000	3.03843137254902	3.19579831932773	3.12357740298917	3.09487666034156
6:4920001-16280000	3.92	4.01428571428571	3.97902097902098	3.96774193548387
6:16520001-57420000	3.04	2.97142857142857	2.97902097902098	3
6:57940001-61380000	2.78117647058823	2.7266106442577	2.66851775675305	2.7090449082859
6:61520001-170500000	2	2	2	2
7:120001-1720000	3.77558441558442	3.67309833024119	3.75179366088457	3.5550900712191
7:2140001-4680000	4.12677419354839	4.00714285714286	4.05693097225355	3.8124349635796
7:4980001-43740000	4.88	4.84285714285714	4.94405594405594	4.80645161290323
7:44240001-46560000	3.81585585585586	3.87091377091377	4.01757701757702	3.83173496076722
7:46660001-57860000	3	2.97142857142857	2.97552447552448	2.96774193548387
7:61000001-69740000	4	4	3.97202797202797	4
7:70100001-78040000	3.96	4	3.99300699300699	4
7:78740001-84960000	3.96	3.92857142857143	3.94055944055944	3.90322580645161
7:85160001-129520000	3	3	2.9965034965035	3
7:129780001-131760000	3.95183673469388	3.86166180758017	3.84076637648066	3.89104674127716
7:131920001-146560000	3	3	2.98601398601399	3
7:148380001-158560000	3.96	4	4.02097902097902	4
8:260001-2180000	2.92137931034483	3.0431855500821	3.02933847761434	3.09269558769003
8:4200001-96220000	3	3	3	3.03225806451613
8:96420001-112200000	1.96	2	2	2.03225806451613
8:120420001-121780000	24.6423880597015	24.4763326226013	24.28295585012	24.2330284063553
8:128440001-144940000	1.96	2	1.99300699300699	2.03225806451613
9:280001-25460000	3.96	4	3.98951048951049	3.96774193548387
9:25560001-27560000	3.1744	3.218	3.2356993006993	3.1658064516129
9:28740001-30580000	1.83652173913043	1.92158385093168	1.90631650957738	1.8187237026648
9:31420001-33420000	3.96618556701031	3.98085419734904	3.97793958618701	4.02194878616561
9:33720001-38720000	3.04	3.01428571428571	3.01048951048951	3
9:64000001-78060000	3.88	3.97142857142857	3.97202797202797	4
9:78320001-112380000	4.88	4.98571428571429	4.9965034965035	5
9:112520001-119200000	3.88	4.02857142857143	4.00699300699301	3.96774193548387
9:119320001-138020000	2.88	3	3.00699300699301	3.03225806451613
10:120001-10980000	4	3.81428571428571	3.95454545454545	3.83870967741935
10:11080001-12320000	4.70229508196721	4.25878220140515	4.51799839504758	4.50819672131148
10:12440001-39540000	3.92	3.82857142857143	3.97202797202797	3.83870967741935
10:42080001-51700000	3	3	3.01048951048951	3.06451612903226
10:51860001-52880000	2.9664	2.98114285714286	2.98181818181818	2.99032258064516
10:52900001-54320000	2.888	2.91816326530612	2.89020979020979	2.92442396313364
10:55480001-82280000	3	3	3.00699300699301	3
10:82540001-87740000	2.96	2.97142857142857	2.96503496503496	2.93548387096774
10:87880001-96580000	3	3	3.01048951048951	3.03225806451613
10:96780001-101460000	5.05764192139738	5.07623206487835	5.0771673741106	5.10311311452317
10:101520001-102720000	5.89	5.85309523809524	5.83414918414918	5.91236559139785
10:102800001-133440000	2	2	2.02447552447552	2
11:260001-55580000	3.04	3	2.9965034965035	3
11:56440001-57600000	3.78877192982456	3.86591478696742	3.7799656483867	3.89983022071307
11:58040001-79760000	2.96	3.04285714285714	2.9965034965035	3
11:79800001-83720000	3.03295336787565	3.02679496669134	2.98519873908475	2.96473341133211
11:85340001-89400000	1.96865979381443	2.0139911634757	2.0035145267104	1.98902560691719
11:89400001-99020000	2.04	2.71428571428571	2	2
11:99300001-128720000	3.04	3.77142857142857	3.00699300699301	3
11:128940001-134960000	2.04	2.71428571428571	2.00699300699301	2
12:220001-34520000	2.96	3.04285714285714	2.9965034965035	3
12:37440001-39960000	4.77225806451613	4.82085253456221	4.8061696368148	4.86940686784599
12:40080001-57280000	3.96	4	4.01398601398601	3.96774193548387
12:57480001-133240000	2	2	2.0034965034965	2
13:18900001-22780000	2.80442105263158	2.82	2.9094957673905	2.81205432937182
13:22980001-24960000	2.13469387755102	2.11822157434402	2.09604681033252	2.13594470046083
13:25160001-93940000	3	3.02857142857143	3.00699300699301	3
13:94260001-113900000	2	2.04285714285714	1.9965034965035	2
14:19860001-39620000	3	2.15714285714286	3.01048951048951	3
14:42640001-46660000	3.86541666666667	2.98422619047619	3.91617497086247	3.78729838709677
14:48780001-73460000	3.96	3	3.98951048951049	3.96774193548387
14:73700001-105800000	4.92	4.01428571428571	5.00699300699301	4.96774193548387
15:23360001-101840000	3	2.94285714285714	2.9965034965035	2
16:20001-5640000	3.04	2.97142857142857	2.94755244755245	2.93548387096774
16:7280001-30640000	3	2.97142857142857	2.95804195804196	2.93548387096774
16:30820001-34220000	5.89904761904762	5.84308390022676	5.81479631479631	5.76139272913466
16:34580001-36100000	3.00333333333333	3.03547619047619	3.09463869463869	3.00430107526882
16:46400001-47500000	3.00452830188679	3.01536388140162	3.06141971236311	2.9780888618381
16:47700001-51540000	4.99010526315789	4.94293233082707	5.0576002944424	5.00848896434635
16:51700001-90060000	3	2.97142857142857	3.02797202797203	2.96774193548387
17:120001-1160000	2.903	2.77785714285714	2.89772727272727	2.79435483870968
17:1420001-7740000	2.04	2	2.01398601398601	1.96774193548387
17:7960001-18980000	2.96	3	2.98601398601399	3
17:20700001-21860000	2.97066666666667	3.08888888888889	3.05229215229215	3.0078853046595
17:28460001-45220000	3	3.01428571428571	3.03146853146853	3.09677419354839
17:45220001-47360000	3.12114285714286	3.16591836734694	3.18826173826174	3.2778801843318
17:48200001-83120000	3	2.98571428571429	2.9965034965035	3.03225806451613
18:220001-2440000	4.80448598130841	4.78504672897196	4.86455133651395	4.9119686463672
18:2820001-15180000	3	3	2.97552447552448	3
18:21040001-24240000	2.95496855345912	3.0707097933513	3.04187007960593	3.02069385270846
18:24380001-25660000	3.76983606557377	3.65269320843091	3.66204287515763	3.58751983077737
18:25860001-69780000	2.96	3.01428571428571	3	3
18:70000001-80100000	2	2	2	2
19:420001-8720000	4.04	3.91428571428571	3.98251748251748	3.19354838709677
19:9120001-10660000	6.03116883116883	4.88775510204082	5.85123966942149	5.24507750314202
19:10780001-24280000	5.08	4.14285714285714	4.9965034965035	5
19:24320001-27300000	5.2	6.05918367346939	5.01498501498502	5.21658986175115
19:27920001-30660000	5.07880597014925	7.24115138592751	5.07146957520092	4.96389022628791
19:30960001-37860000	4.08	5.44285714285714	4.02097902097902	4
19:38040001-58480000	2	1.98571428571429	2	2
20:140001-64240000	3	3	3	3
21:14100001-46660000	3	2.94285714285714	2.97552447552448	2.96774193548387
22:12380001-50640000	3	3	3.0034965034965	2.96774193548387
