2157	2158
16:75160001-76880000	2.94117647058824	3.12675261885576
16:77000001-89600000	1.68170527699399	1.7389365446184
17:200001-1720000	2.45814732142857	3.59118150684932
17:1720001-11880000	3.53786574870912	3.44867139792045
17:12100001-13140000	1.90966386554622	1.662100456621
17:13240001-83180000	3.50241515805822	3.58085154123488
18:120001-40360000	2.77866146948902	3.04191324607524
18:40540001-69660000	1.42819126189561	1.47547072384755
18:69860001-76020000	2.66615925058548	2.83622277116551
18:76180001-80160000	3.62995512341062	4.56566018790791
19:300001-6300000	3.40175565175565	3.981366173147
19:6500001-8100000	1.79962894248609	1.95721401885785
19:8360001-58480000	3.21115970335405	3.44516716881696
20:140001-3880000	1.72072599531616	1.82592259899693
20:4020001-5460000	3.2	3.30420743639922
20:5620001-10320000	1.63821892393321	1.45819249243907
20:10600001-12180000	2.92254174397031	2.89130048034158
20:12520001-22060000	1.6238097267871	1.55092490476256
20:22220001-26320000	3.19160997732426	3.3039066463724
20:29320001-30980000	3.88585434173669	4.09548751007252
20:31140001-64220000	4.13859308294322	5.14076357270347
21:7900001-10720000	9.85714285714285	7.17488584474886
21:13420001-27200000	2.05098187311178	1.30949178496048
21:27360001-46660000	3.5931205453982	3.29972810744956
22:10700001-12600000	4.14880952380952	3.54452054794521
22:16040001-17860000	2.51934523809524	3.13660578386606
22:18040001-50620000	1.85169388159766	1.84945739095057
