2152	2154	2153	2155
18:240001-80160000	3	3.0625	2.99502487562189	3
19:380001-24240000	2.025	1.9375	2.01492537313433	1.94285714285714
19:27400001-36240000	3.8875	3.6875	3.85074626865672	3.51428571428571
19:36300001-58540000	3.85	3.6875	3.8407960199005	3.34285714285714
20:40001-8600000	3.9875	3.9375	3.9452736318408	3.71428571428571
20:8820001-14660000	5.9875	5.9375	5.87562189054726	5.88571428571429
20:15360001-26320000	5.95	5.875	5.8955223880597	5.57142857142857
20:28580001-30740000	5.95079365079365	5.875	5.924188580905	5.51428571428571
20:31240001-49400000	5.9375	5.9375	5.92039800995025	5.51428571428571
20:49580001-50740000	4.20646551724138	3.7823275862069	4.31291816778178	3.59014778325123
20:51020001-61900000	5.975	5.875	5.90049751243781	5.54285714285714
20:62280001-64140000	5.13858695652174	4.78736413043478	5.24870214146658	4.16521739130435
21:7900001-10420000	8.76875	7.36458333333333	8.49336650082919	8.14285714285714
21:13800001-46480000	2.0125	2	2.00497512437811	1.97142857142857
22:16080001-50600000	3.85	3.5625	3.98507462686567	3.22857142857143
