2209	2207	2210	2208
5:176260001-180920000	4.87565347274085	5.09570041608877	4.80327547317839	4.89042995839112
6:400001-2520000	3.35595776772247	3.36904761904762	3.24717765894237	3.28571428571429
6:4920001-16280000	4.23627356543278	4.13659596217736	4.11539365027737	4.23639151546128
6:16520001-57420000	3.63334458887076	3.58707276337669	3.56847060972937	3.62623896984701
6:57940001-61380000	2.61689291101056	2.63725490196079	2.57219251336898	2.49579831932773
6:61520001-170500000	2.18581610226522	2.33182916348116	2.1594468885421	2.17549421666192
7:120001-1720000	4.96703296703297	4.41187384044527	4.85032139577594	4.82003710575139
7:2140001-4680000	4.8151364764268	4.44009216589862	4.68100358422939	4.68087557603687
7:4980001-43740000	5.97999032698136	5.81315757118789	5.77880239042691	5.81602626837877
7:44240001-46560000	4.97990297990298	4.96010296010296	4.98707798707799	4.95495495495495
7:46660001-57860000	3.01595110316041	3.10714285714286	3.04594393547882	2.98394241417497
7:61000001-69740000	4.55418480890179	4.52425876010782	4.39117591004384	4.39712488769093
7:70100001-78040000	5.39403453689168	5.29810495626822	5.26857005428434	5.19533527696793
7:78740001-84960000	4.97276166456494	5.02599531615925	4.93392945851962	4.6056206088993
7:85160001-129520000	3.50413558691363	3.48839801149629	3.47249575047267	3.35556261454684
7:129780001-131760000	5.42700156985871	5.30320699708455	5.10059781488353	5.01166180758017
7:131920001-146560000	3.08788046485888	3.22189105858171	3.1691446842526	3.15930113052415
7:148380001-158560000	4.95037220843672	4.82734254992319	4.78826979472141	4.78463901689708
8:260001-2180000	3.15738284703802	3.23645320197044	3.08684546615581	3.19211822660099
8:4200001-96220000	3.49245030751404	3.3976493957954	3.35700691737772	3.41046184406555
8:96420001-112200000	2.44772411051481	2.44915097822074	2.42648709315376	2.32133628645257
8:120420001-121780000	25.3249138920781	25.5074626865672	26.0756821950852	24.9019189765458
8:128440001-144940000	2.26266184310739	2.11129773691655	2.24931243124312	2.24540311173975
9:280001-25460000	4.74139133120378	4.51282582388874	4.5782669047526	4.63897543926145
9:25560001-27560000	3.80384615384615	3.61071428571429	3.53111111111111	3.37428571428571
9:28740001-30580000	1.70066889632107	2.19099378881988	1.87406675450154	2.02173913043478
9:31420001-33420000	4.52656621728786	4.56259204712813	4.64375715922108	4.58026509572901
9:33720001-38720000	4.3905325443787	3.9840948525159	3.95779658937554	3.71544245228456
9:64000001-78060000	4.77788461538461	4.55505952380952	4.58436447811448	4.41369047619048
9:78320001-112380000	5.87938874044907	5.61665360842692	5.71110249355222	5.64403238443458
9:112520001-119200000	4.51769702689948	4.55893952673094	4.53426907107889	4.69412795793164
9:119320001-138020000	4.21220735785953	4.33742236024845	4.2020092226614	4.35310559006211
10:120001-10980000	4.41718772720663	4.2285984337024	4.23583662714097	3.89224952741021
10:11080001-12320000	6.65447667087011	5.93793911007026	5.84517304189435	5.04449648711944
10:12440001-39540000	4.7719422340112	4.42873563218391	4.60339022407988	4.14438970990695
10:42080001-51700000	3.14857301453518	3.03787180893937	3.07300414789823	3.12270386360489
10:51860001-52880000	3.49076923076923	3.5	3.3969696969697	3.34
10:52900001-54320000	2.89120879120879	2.91938775510204	2.80692640692641	2.66734693877551
10:55480001-82280000	3.7617505006479	3.66489827171297	3.69645149813603	3.67501640778823
10:82540001-87740000	3.14497041420118	3.11843711843712	3.11555728222395	3.07142857142857
10:87880001-96580000	3.76797268152408	3.58094125500668	3.55378551873879	3.55240320427236
10:96780001-101460000	7.02015451797111	6.16188396756082	6.46372017114375	6.50966936993138
10:101520001-102720000	9.07564102564103	9.0047619047619	9.17373737373737	9.26190476190476
10:102800001-133440000	2.42876165113182	2.31282100057067	2.34280891471304	2.24633821571238
11:260001-55580000	3.59385843697221	3.48274878813801	3.40508881227444	3.39920159680639
11:56440001-57600000	4.41430499325236	4.06516290726817	4.14141414141414	4.31578947368421
11:58040001-79760000	4.08058909849632	4.00468204379335	3.9576661823948	4.09687520846909
11:79800001-83720000	3.16978876046234	3.26757957068838	3.02213848327838	3.14507772020725
11:85340001-89400000	2.06502775574941	2.22312223858616	1.9980214516297	2.14138438880707
11:89400001-99020000	2.26564102564103	3.07746031746032	2.09441077441077	2.09523809523809
11:99300001-128720000	3.80595740137725	4.50565083771191	3.45207102250822	3.38495092693566
11:128940001-134960000	2.23468057366363	2.86150121065375	2.05872282143469	2.08232445520581
12:220001-34520000	3.39613081529249	3.3724123182207	3.36462831911934	3.37219846022241
12:37440001-39960000	4.67866004962779	5.00403225806452	4.73004235907462	4.72235023041475
12:40080001-57280000	5.39229854568737	5.51121114319687	5.37256032380884	5.45982673687787
12:57480001-133240000	2.32429260278349	2.40566559555289	2.34171770916653	2.36324593243051
13:18900001-22780000	3.47570850202429	2.98721804511278	3.25454545454545	3.02406015037594
13:22980001-24960000	2.2425431711146	2.24927113702624	2.16872809729953	2.18367346938776
13:25160001-93940000	3.30528631332921	3.28286310055747	3.23456489229501	3.145963658028
13:94260001-113900000	2.19751392364194	2.24456603207915	2.20550732932685	2.16489281966722
14:19860001-39620000	3.37027243589744	2.64903273809524	3.53283880471381	3.41502976190476
14:42640001-46660000	3.84975961538461	3.09449404761905	3.94565446127946	3.94940476190476
14:48780001-73460000	4.95222405271829	3.83031301482702	5.01686552510276	4.77912449988233
14:73700001-105800000	5.99113362887904	4.78318103682258	5.94028953243646	5.93377363611689
15:23360001-101840000	3.66861148009755	3.63887818480777	3.66851391118372	2.44629070148371
16:20001-5640000	4.08588779641411	3.97932330827068	3.95071010860485	4.25725026852847
16:7280001-30640000	3.74284340953316	3.52631250053341	3.50233936872168	3.70278929233223
16:30820001-34220000	7.18559218559218	6.73129251700681	6.81689915023248	6.80725623582767
16:34580001-36100000	2.85641025641026	3.1202380952381	3.02744107744108	3.03809523809524
16:46400001-47500000	3.54426705370102	3.40161725067385	3.50771869639794	3.14285714285714
16:47700001-51540000	6.38380566801619	5.95075187969925	6.0729399255715	6.18496240601504
16:51700001-90060000	3.66525353983373	3.75211660766987	3.73378245848736	3.72588567608819
17:120001-1160000	3.95576923076923	3.81071428571429	3.9729797979798	4.22857142857143
17:1420001-7740000	2.61165048543689	2.61581137309293	2.68559380209866	2.73693943596856
17:7960001-18980000	3.65878113739621	3.61216176898458	3.52942870661812	3.73203375036369
17:20700001-21860000	3.87863247863248	3.75714285714286	3.57485970819304	3.72063492063492
17:28460001-45220000	4.38392593322171	4.45509420157308	4.32455153325832	4.51765136272179
17:45220001-47360000	5.01098901098901	4.53571428571429	4.75396825396825	5.32040816326531
17:48200001-83120000	4.0241397946316	3.9163599866176	3.96681096681097	4.00811308129809
18:220001-2440000	5.85621854780733	5.25967957276368	5.55961483998867	5.4913217623498
18:2820001-15180000	3.59901800327332	3.32383485309017	3.33791818898202	3.39108409321175
18:21040001-24240000	4.41509433962264	4.33063791554358	4.28956228956229	4.19407008086253
18:24380001-25660000	5.76418663303909	5.53161592505855	5.35866865375062	5.01873536299766
18:25860001-69780000	3.26896280681696	3.19666909959525	3.18287848292493	3.20104837104373
18:70000001-80100000	1.8352538150109	2.01344707923655	2.06211916738232	2.03932909196067
19:420001-8720000	5.40450281425891	5.1315331010453	5.28021680216802	4.00905923344948
19:9120001-10660000	7.84415584415584	5.93692022263451	7.33897415715598	6.42300556586271
19:10780001-24280000	6.19894688644689	5.02072704081633	5.99770021645022	6.38307823129252
19:24320001-27300000	5.08791208791209	6.03061224489796	4.85858585858586	5.14285714285714
19:27920001-30660000	6.38289322617681	7.97388059701493	5.64616312377506	5.55650319829424
19:30960001-37860000	5.05020727775219	6.23952095808383	4.43422246416258	4.49059024807528
19:38040001-58480000	2.53211577155239	2.44747053751078	2.56048411682215	2.53866053463639
20:140001-64240000	3.54878189757379	3.64926138078358	3.49625615903697	3.48193963461316
21:14100001-46660000	3.54265379740665	3.45038928118776	3.39071321580827	3.48804997284085
22:12380001-50640000	4.1304434821295	3.84636468402331	3.94368633354459	3.94721978429108
